logradouro,numero,bairro,cep,cidade,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,anuncio_criado,tipo_anuncio,preco_venda,taxa_condominio,periodicidade,preco_aluguel,iptu_ano
Rua Juvenal Galeno,53,Jardim da Saúde,04290030,São Paulo,Casa de dois andares,388,3,1,4,6,2017-02-07,Venda,700000,NA,NA,NA,NA
Rua Juruaba,16,Vila Santa Teresa (Zona Sul),04187320,São Paulo,Casa,129,2,1,3,2,2016-03-21,Venda,336000,NA,NA,NA,NA
Avenida Paulista,402,Bela Vista,01311000,São Paulo,Comercial,396,4,0,0,5,2018-12-18,Locação,24929,4900,MONTHLY,29829,4040
Rua Alvorada,1190,Vila Olímpia,04550004,São Paulo,Apartamento,80,2,1,3,2,2018-10-26,Venda,739643,686,NA,NA,1610
Rua Curitiba,380,Paraíso,04005030,São Paulo,Apartamento,3322,5,4,4,5,2018-12-14,Venda,7520099,6230,NA,NA,18900
Rua Pintassilgo,477,Vila Uberabinha,04514032,São Paulo,Flat,45,0,1,1,1,2018-10-09,Locação,1889,560,MONTHLY,2450,87
Rua Mateus Grou,586,Pinheiros,05415040,São Paulo,Apartamento,94,1,0,3,2,2018-05-29,Venda,630700,1120,NA,NA,489
Rua Dona Luísa de Paiva Dias,NA,Vila Santa Clara,03274050,São Paulo,Condomínio,110,1,1,3,2,2018-04-16,Venda,385000,0,NA,NA,0
Rua Oswaldo Arouca,213,Vila Formosa,03363000,São Paulo,Depósito,590,2,0,0,20,2018-06-26,Venda,1400000,0,NA,NA,5600
Rua Almeida Torres,140,Aclimação,01530010,São Paulo,Apartamento,141,4,3,4,2,2019-01-09,Venda,1106000,0,NA,NA,0
Rua Alcantarilla,206,Vila Andrade,05717170,São Paulo,Apartamento,188,0,4,4,3,2018-09-29,Venda,910000,1400,NA,NA,6300
Rua Francisco Antônio Gonçalves,30,Jardim Aeroporto,04630020,São Paulo,Loteamento Residencial,225,1,0,1,2,2018-03-12,Venda,525000,0,NA,NA,0
Avenida Luiz Dumont Villares,400,Santana,02085000,São Paulo,Flat,32,1,0,1,1,2015-09-17,Venda,118999,0,NA,NA,0
Rua João Guilherme,441,Vila Moinho Velho,04284000,São Paulo,Apartamento,69,2,0,2,1,2016-07-31,Venda,332500,339,NA,NA,819
Rua Demétrio Ribeiro,100,Cidade Mãe do Céu,03332000,São Paulo,Cobertura,275,5,2,4,6,2017-10-20,Venda,2590000,1400,NA,NA,11900
Rua Araújo Gondim,NA,Sacomã,04252040,São Paulo,Apartamento,50,1,0,2,1,2017-11-06,Venda,193200,322,NA,NA,NA
Rua Manoel Carneiro Silva,01,Bosque da Saúde,04148050,São Paulo,Apartamento,64,2,1,2,2,2019-01-12,Venda,350000,406,NA,NA,118
Rua Coronel Ferreira Leal,159,Vila Gomes,05589090,São Paulo,Apartamento,55,1,0,2,1,2018-09-11,Venda,252629,244,NA,NA,644
Rua Nova York,426,Cidade Monções,04560000,São Paulo,Loja,126,4,0,4,2,2018-07-02,Locação,3849,0,MONTHLY,3849,3311
Rua Sant'Ana,00,Campo Grande,04676110,São Paulo,Casa de dois andares,99,4,3,3,4,2018-12-05,Venda,315000,0,NA,NA,0
Rua Caraíbas,823,Vila Pompeia,05020000,São Paulo,Condomínio,274,3,0,0,2,2018-08-02,Locação,7699,0,MONTHLY,7699,0
Rua José Benedito Salinas,00,Jardim Marajoara,04674200,São Paulo,Apartamento,86,2,1,3,1,2019-01-18,Venda,406000,489,NA,NA,0
Rua Doutor Jesuíno Maciel,1900,Campo Belo,04615902,São Paulo,Apartamento,71,0,1,2,2,2018-07-17,Venda,525000,721,NA,NA,127
Avenida Raimundo Pereira de Magalhães,555,Lapa,05092040,São Paulo,Apartamento,134,4,2,4,2,2018-06-07,Venda,683200,0,NA,NA,0
Avenida Anacé,21,Jardim Umarizal,05755090,São Paulo,Apartamento,50,1,0,2,1,2018-01-19,Venda,157500,210,NA,NA,0
Rua Antônio Marcondes,194,Vila Dom Pedro I,04267020,São Paulo,Apartamento,44,1,0,1,1,2019-01-14,Venda,193900,0,NA,NA,0
Rua Hermógenes Lima,50,Jardim Monte Azul,05836230,São Paulo,Casa de dois andares,140,3,1,3,4,2018-10-25,Venda,385000,0,NA,NA,0
Rua dos Pinheiros,1057,Pinheiros,05422002,São Paulo,Apartamento,30,1,1,1,0,2018-12-08,Venda,230221,280,NA,NA,0
Rua Pacheco Gato,NA,Jardim Nove de Julho,03951060,São Paulo,Apartamento,45,1,0,2,1,2017-07-05,Venda,175000,161,NA,NA,0
Rua do Erário,12,Móoca,03188070,São Paulo,Casa de dois andares,200,2,0,4,4,2018-07-25,Venda,482999,0,NA,NA,0
Rua Taquari,670,Móoca,03166000,São Paulo,Apartamento,68,2,1,3,1,2018-10-05,Venda,385000,394,NA,NA,47
Avenida Guarapiranga,516,Jardim Japão,04917165,São Paulo,Apartamento,78,1,0,3,1,2018-09-01,Venda,258299,342,NA,NA,0
Rua Ilha Maiorca,100,Jardim Guarujá,05877250,São Paulo,Prédio Residencial,50,1,0,2,1,2018-12-14,Venda,139930,56,NA,NA,0
Rua Pedro Doll,321,Santana,02404000,São Paulo,Apartamento,200,6,4,4,4,2017-08-17,Venda,1540000,909,NA,NA,4200
Rua Costa Barros,NA,Vila Alpina,03210000,São Paulo,Apartamento,70,1,0,2,1,2018-12-05,Venda,161000,280,NA,NA,0
Rua Ivaí,101,Tatuapé,03080010,São Paulo,Apartamento,103,4,3,3,2,2018-12-26,Venda,427000,0,NA,NA,0
Rua Almeida Torres,140,Aclimação,01530010,São Paulo,Apartamento,141,4,3,4,2,2019-01-09,Venda,1106700,0,NA,NA,0
Rua Macajuba,345,Jardim Iracema,05847540,São Paulo,Casa,80,1,0,2,2,2018-10-30,Venda,258999,0,NA,NA,0
Rua Agostinho Correia,141,Vila Regina,02968090,São Paulo,Apartamento,60,1,0,3,1,2018-06-23,Venda,171500,244,NA,NA,0
Rua Olegário Mariano,869,Jardim Guedala,05612001,São Paulo,Casa,480,6,3,0,4,2018-09-07,Locação,7000,0,MONTHLY,7000,0
Rua Dona Antônia de Queirós,603,Consolação,01238001,São Paulo,Escritório,186,10,NA,1,0,2018-12-04,Venda,1431276,0,NA,NA,0
Rua Estevão Baião,NA,Campo Belo,04624000,São Paulo,Apartamento,123,3,1,3,2,2018-11-28,Venda,742000,700,NA,NA,322
Rua Arizona,100,Brooklin,04567003,São Paulo,Flat,31,1,1,1,1,2018-12-07,Venda,339500,0,NA,NA,0
Rua Sócrates,495,Vila Sofia,04671071,São Paulo,Apartamento,129,3,1,3,1,2018-12-13,Venda,441000,864,NA,NA,11
Alameda Campinas,675,Jardim Paulista,01404001,São Paulo,Flat,34,1,0,1,1,2019-01-07,Locação,1169,714,MONTHLY,1882,77
Rua Lino Coutinho,301,Ipiranga,04207000,São Paulo,Apartamento,110,3,1,3,2,2018-06-28,Venda,770000,584,NA,NA,1106
Rua Juquis,000,Indianópolis,04081010,São Paulo,Apartamento,240,3,2,4,3,2018-03-27,Locação,10500,1798,MONTHLY,12299,2800
Rua Emboabas,10,Brooklin,04623010,São Paulo,Casa,175,4,1,3,2,2018-12-04,Venda,1260000,0,NA,NA,305
Rua Bela Cintra,672,Consolação,01415000,São Paulo,Flat,56,1,1,2,1,2018-12-06,Venda,489999,1846,NA,NA,217
Viela Quatro,700,Cidade Satélite Santa Bárbara,05567080,São Paulo,Apartamento,43,1,0,2,1,2019-01-15,Venda,147000,0,NA,NA,0
Avenida Jacutinga,635,Indianópolis,04515030,São Paulo,Apartamento,82,0,2,2,1,2018-07-20,Venda,581000,560,NA,NA,70
Rua Outeiro da Cruz,333,Jardim Sao Paulo,02041040,São Paulo,Apartamento,65,1,0,2,2,2018-04-12,Venda,266000,350,NA,NA,NA
Avenida das Nações Unidas,18385,Várzea de Baixo,04730090,São Paulo,Escritório,1441,10,NA,1,25,2019-01-08,Locação,55478,19165,MONTHLY,74643,0
Avenida Rio Branco,NA,Campos Eliseos,01206001,São Paulo,Flat,32,1,0,1,1,2019-01-29,Locação,1036,385,MONTHLY,1421,49
Rua Vicente Oropallo,100,Cidade São Francisco,05351025,São Paulo,Apartamento,72,2,1,3,2,2018-07-13,Locação,1540,401,MONTHLY,1941,93
Avenida José César de Oliveira,111,Vila Leopoldina,05317000,São Paulo,Escritório,192,0,0,0,0,2018-05-02,Locação,2553,2419,MONTHLY,4972,470
Alameda Ribeirão Preto,290,Bela Vista,01331000,São Paulo,Casa de dois andares,155,3,0,0,0,2018-10-25,Locação,4130,0,MONTHLY,4130,0
Alameda Campinas,973,Jardim Paulista,01404001,São Paulo,Escritório,120,10,NA,1,3,2018-12-04,Locação,5040,1596,MONTHLY,6636,0
Rua Capricho,1046,Vila Nivi,02254000,São Paulo,Apartamento,63,1,1,2,2,2018-03-29,Venda,290500,374,NA,NA,0
